# ['Human-SARS ORF1ab ORF1ab polyprotein', 'Human-SARS S spike glycoprotein', 'Human-SARS ORF3a ORF3a protein', 'Human-SARS ORF3b ORF3b protein', 'Human-SARS E small envelope protein', 'Human-SARS M membrane glycoprotein M', 'Human-SARS ORF6 ORF6 protein', 'Human-SARS ORF7a ORF7a protein', 'Human-SARS ORF7b ORF7b protein', 'Human-SARS ORF8a ORF8a protein', 'Human-SARS ORF8b ORF8b protein', 'Human-SARS N nucleocapsid protein', 'Human-SARS ORF9b protein', 'Human-SARS N ORF9a protein', 'Bat-CoV RaTG13 orf1ab orf1ab polyprotein', 'Bat-CoV RaTG13 S spike glycoprotein', 'Bat-CoV RaTG13 NS3 nonstructural protein NS3', 'Bat-CoV RaTG13 E envelope protein', 'Bat-CoV RaTG13 M membrane protein', 'Bat-CoV RaTG13 NS6 nonstructural protein NS6', 'Bat-CoV RaTG13 NS7a nonstructural protein NS7a', 'Bat-CoV RaTG13 NS7b nonstructural protein NS7b', 'Bat-CoV RaTG13 NS8 nonstructural protein NS8', 'Bat-CoV RaTG13 N nucleocapsid protein', 'Pangolin-CoV MP789 orf1ab orf1ab polyprotein', 'Pangolin-CoV MP789 S surface glycoprotein', 'Pangolin-CoV MP789 ORF3 ORF3 protein', 'Pangolin-CoV MP789 E envelope protein', 'Pangolin-CoV MP789 M membrane glycoprotein', 'Pangolin-CoV MP789 ORF6 ORF6 protein', 'Pangolin-CoV MP789 ORF7a ORF7a protein', 'Pangolin-CoV MP789 ORF7b ORF7b protein', 'Pangolin-CoV MP789 ORF8 ORF8 protein', 'Pangolin-CoV MP789 N nucleocapsid phosphoprotein', 'Pangolin-CoV MP789 ORF10 ORF10 protein', 'ORF-1', 'ORF-2', 'ORF-3', 'ORF-4', 'ORF-5']
211,183,164,144,97,147,100,28,72,60,123,177,125,84,168,244,192,97,153,101,0,73,123,187,234,190,192,100,153,102,6,72,130,185,60,221,138,254,198,192
69,55,61,68,44,69,62,71,9,53,79,59,64,49,93,58,58,66,69,41,73,0,66,57,93,57,58,66,69,42,75,3,52,78,52,90,42,58,94,58
281,175,193,147,100,187,110,124,71,41,121,138,121,101,191,189,186,99,172,97,123,66,0,140,192,233,175,100,169,77,126,63,24,131,43,185,148,192,195,199
733,739,395,324,126,367,99,192,71,45,132,59,170,125,680,764,388,126,378,102,187,57,140,0,672,754,382,124,357,98,170,56,150,11,59,533,193,559,660,385
1325,2051,563,274,133,360,93,245,83,71,150,761,188,101,332,2285,461,128,399,93,234,93,192,672,0,2332,466,128,376,133,232,58,194,683,69,6,211,1013,20,464
1957,427,464,255,129,382,122,225,72,71,129,686,182,118,2341,186,561,145,396,97,190,57,233,754,2332,0,570,145,401,98,196,56,183,754,72,775,246,7,1604,479
481,490,108,184,148,291,112,191,64,91,150,358,197,87,466,510,10,141,295,101,192,58,175,382,466,570,0,140,296,98,196,58,191,430,51,369,211,406,469,8
109,126,130,128,6,130,78,112,61,51,89,107,92,76,128,144,139,0,113,77,100,66,100,124,128,145,140,0,111,82,97,67,83,123,63,168,111,133,132,109
356,435,271,222,117,31,81,173,69,58,116,355,121,134,331,406,286,111,3,106,153,69,169,357,376,401,296,111,0,98,150,68,165,381,40,293,2,411,329,304
117,103,95,113,81,97,35,70,52,57,67,98,81,49,96,96,100,82,98,2,102,42,77,98,133,98,98,82,98,0,105,41,85,97,47,122,78,85,88,99
217,187,164,164,97,150,95,30,75,61,122,166,118,84,215,216,194,97,150,106,6,75,126,170,232,196,196,97,150,105,0,69,128,174,61,179,137,254,205,190
69,53,81,67,45,87,62,69,12,48,76,59,60,72,58,57,58,67,69,41,72,3,63,56,58,56,58,67,68,41,69,0,74,81,50,91,70,57,64,78
213,183,165,139,84,178,104,126,86,43,103,132,107,90,183,152,168,83,165,98,130,52,24,150,194,183,191,83,165,85,128,74,0,134,43,190,139,181,203,165
793,801,386,271,123,369,99,191,71,45,136,61,172,121,763,724,390,123,386,101,185,78,131,11,683,754,430,123,381,97,174,81,134,0,59,534,173,556,631,421
63,85,40,68,63,61,47,57,54,44,70,59,57,40,69,59,50,63,40,47,60,52,43,59,69,72,51,63,40,47,61,50,43,59,0,57,110,66,69,51
28,823,399,248,166,327,107,216,68,68,128,572,159,137,6,792,460,168,287,92,221,90,185,533,6,775,369,168,293,122,179,91,190,534,57,0,213,627,0,451
212,234,221,145,117,19,100,147,72,58,84,200,121,96,211,251,209,111,2,86,138,42,148,193,211,246,211,111,2,78,137,70,139,173,110,213,0,199,173,208
1026,82,437,253,117,444,114,249,72,71,162,568,171,118,948,2,406,133,372,114,254,58,192,559,1013,7,406,133,411,85,254,57,181,556,66,627,199,0,1131,411
173,1563,481,236,132,398,113,205,83,54,150,631,159,101,14,1618,471,132,324,107,198,94,195,660,20,1604,469,132,329,88,205,64,203,631,69,0,173,1131,0,494
479,495,102,255,116,295,108,188,64,90,149,361,186,88,468,596,8,109,299,101,192,58,199,385,464,479,8,109,304,99,190,78,165,421,51,451,208,411,494,0
