# ['Human-SARS ORF1ab ORF1ab polyprotein', 'Human-SARS S spike glycoprotein', 'Human-SARS ORF3a ORF3a protein', 'Human-SARS ORF3b ORF3b protein', 'Human-SARS E small envelope protein', 'Human-SARS M membrane glycoprotein M', 'Human-SARS ORF6 ORF6 protein', 'Human-SARS ORF7a ORF7a protein', 'Human-SARS ORF7b ORF7b protein', 'Human-SARS ORF8a ORF8a protein', 'Human-SARS ORF8b ORF8b protein', 'Human-SARS N nucleocapsid protein', 'Human-SARS ORF9b protein', 'Human-SARS N ORF9a protein', 'Bat-CoV RaTG13 orf1ab orf1ab polyprotein', 'Bat-CoV RaTG13 S spike glycoprotein', 'Bat-CoV RaTG13 NS3 nonstructural protein NS3', 'Bat-CoV RaTG13 E envelope protein', 'Bat-CoV RaTG13 M membrane protein', 'Bat-CoV RaTG13 NS6 nonstructural protein NS6', 'Bat-CoV RaTG13 NS7a nonstructural protein NS7a', 'Bat-CoV RaTG13 NS7b nonstructural protein NS7b', 'Bat-CoV RaTG13 NS8 nonstructural protein NS8', 'Bat-CoV RaTG13 N nucleocapsid protein', 'Pangolin-CoV MP789 orf1ab orf1ab polyprotein', 'Pangolin-CoV MP789 S surface glycoprotein', 'Pangolin-CoV MP789 ORF3 ORF3 protein', 'Pangolin-CoV MP789 E envelope protein', 'Pangolin-CoV MP789 M membrane glycoprotein', 'Pangolin-CoV MP789 ORF6 ORF6 protein', 'Pangolin-CoV MP789 ORF7a ORF7a protein', 'Pangolin-CoV MP789 ORF7b ORF7b protein', 'Pangolin-CoV MP789 ORF8 ORF8 protein', 'Pangolin-CoV MP789 N nucleocapsid phosphoprotein', 'Pangolin-CoV MP789 ORF10 ORF10 protein', 'ORF-1', 'ORF-2', 'ORF-3', 'ORF-4', 'ORF-5']
0,0,0,0,0,0,0,0,0,0,0,422,25,14,135,110,61,16,49,14,29,10,24,374,110,114,63,16,42,16,31,11,23,373,10,88,33,90,107,61
0,0,0,0,0,0,0,0,0,0,0,0,98,11,33,33,19,15,25,18,17,8,22,29,36,27,23,15,25,19,16,10,21,27,10,27,25,24,27,20
0,0,0,0,0,0,0,0,0,0,0,0,0,70,28,20,18,10,14,10,21,4,10,19,28,20,18,10,14,10,20,9,10,20,5,21,15,20,28,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7095,365,92,23,57,19,32,12,44,116,6816,362,91,23,57,24,35,8,36,118,14,492,36,153,1440,90
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,62,22,69,19,46,13,41,113,373,1121,66,22,68,18,48,12,33,108,14,134,40,575,286,72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,22,58,14,24,14,33,59,92,77,266,22,57,15,24,14,28,58,11,63,30,64,87,268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,23,12,16,12,17,14,23,23,20,75,23,15,15,11,20,18,12,24,23,20,20,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,13,26,10,24,51,65,74,48,23,219,16,27,11,21,44,10,60,131,60,58,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,17,8,15,14,20,18,13,14,13,59,12,8,18,14,6,14,13,17,17,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,15,24,25,35,42,28,15,26,21,115,15,22,25,12,41,25,34,37,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,10,12,14,14,12,12,8,15,41,8,6,7,12,10,13,12,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,26,42,42,28,17,25,19,24,8,98,27,14,26,26,28,38,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,118,119,62,15,47,16,28,10,23,409,10,90,33,100,99,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7089,365,91,23,60,18,36,8,26,117,14,492,36,153,1435,90
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,73,23,72,17,42,13,30,111,11,135,35,570,279,73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,21,47,16,29,14,29,61,10,58,30,67,88,267
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,23,15,15,11,20,18,12,24,23,20,20,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,16,27,13,21,46,10,59,131,58,58,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,17,8,15,16,6,16,16,18,19,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,14,21,27,11,33,22,34,33,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,5,4,11,13,12,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,20,14,26,23,31,32,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,10,93,28,99,104,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,13,13,14,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,33,114,496,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,44,36,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,148,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,86
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276
